gear,S,scientific_name,P,V,grp_name,ncells_spp,V123,redlist_category,n_gears
GND,2.3117168019548973,Mobula birostris,2.550849001251582,3.4425085620266467,Filter feeder elasmobranchs,16727,3.420962298811962,EN,3
GND,2.1970831826372477,Carcharodon carcharias,2.550849001251582,3.3666014225942473,Pelagic generalist elasmobranchs,22346,3.420962298811962,VU,3
GND,1.4964599771449738,Balaenoptera borealis,3.0000000000000004,3.352520315105747,Baleen whales,18311,3.530453457438259,EN,2
GND,2.4879699935443047,Sousa chinensis,2.22064303492292,3.334853846471914,Inshore dolphins & porpoises,1417,3.732459710238234,VU,3
GND,1.8153722451358496,Balaenoptera brydei,2.7663237344451836,3.308794854953133,Baleen whales,20478,3.334163856035348,DD,2
GND,2.308934047997698,Alopias vulpinus,2.352158045049347,3.29603153912298,Oceanic elasmobranchs,22145,3.27548468040945,VU,3
GND,2.2245019567679414,Stenella attenuata,2.4082246852806923,3.2784074015380837,Small oceanic & coastal dolphins,17105,3.315976260093235,LC,3
GND,1.729025491580995,Balaenoptera edeni,2.7663237344451836,3.262219513504824,Baleen whales,20759,3.334163856035348,LC,2
GND,2.3855157814270656,Tursiops truncatus,2.22064303492292,3.2591319445504596,Small oceanic & coastal dolphins,21809,3.1823588595974384,LC,3
GND,2.02762172017826,Mobula alfredi,2.550849001251582,3.2585396218743203,Filter feeder elasmobranchs,1516,3.420962298811962,VU,3
LLT,2.4024863139449044,Carcharodon carcharias,2.550849001251582,3.504107748896824,Pelagic generalist elasmobranchs,22346,3.722270792881104,VU,3
LLT,2.6650647647016674,Sphyrna mokarran,2.0476725110792193,3.360882757949737,Shallow shelf elasmobranchs,14825,3.632211821002388,CR,3
LLT,2.3917875847764867,Alopias vulpinus,2.352158045049347,3.354593167521407,Oceanic elasmobranchs,22145,3.5890272633737266,VU,3
LLT,2.322516524196704,Carcharhinus albimarginatus,2.352158045049347,3.305560538555769,Pelagic generalist elasmobranchs,2148,3.5890272633737266,VU,3
LLT,2.307234326023065,Isurus oxyrinchus,2.352158045049347,3.294841074174818,Oceanic elasmobranchs,20646,3.5890272633737266,EN,3
LLT,1.743210197272103,Orcinus orca,2.7663237344451836,3.2697597458572076,Large oceanic dolphins,23366,3.4489400822388943,DD,3
LLT,2.2704621427498672,Alopias superciliosus,2.352158045049347,3.269196508402437,Oceanic elasmobranchs,16730,3.5890272633737266,VU,3
LLT,2.5047368539576023,Sphyrna zygaena,2.0476725110792193,3.235223241169441,Shallow shelf elasmobranchs,20499,3.632211821002388,VU,3
LLT,2.3298973948437296,Galeocerdo cuvier,2.22064303492292,3.2186452676632875,Pelagic generalist elasmobranchs,2503,3.504243815276159,NT,3
LLT,2.369414097550614,Alopias pelagicus,2.168943542395397,3.212232752427863,Oceanic elasmobranchs,15038,3.471712159504043,EN,3
PST,2.1687495280757476,Carcharodon carcharias,2.550849001251582,3.3481793773206014,Pelagic generalist elasmobranchs,22346,3.420962298811962,VU,3
PST,1.3409915916527486,Balaenoptera borealis,3.0000000000000004,3.2860703657839365,Baleen whales,18311,3.4641016151377553,EN,2
PST,2.322861820698053,Alopias pelagicus,2.168943542395397,3.178050208564265,Oceanic elasmobranchs,15038,3.471712159504043,EN,3
PST,2.131164926567175,Alopias vulpinus,2.352158045049347,3.1740370843959025,Oceanic elasmobranchs,22145,3.395975186730664,VU,3
PST,1.8869791863837249,Mobula birostris,2.550849001251582,3.1729357190197813,Filter feeder elasmobranchs,16727,3.5364997705621573,EN,3
PST,2.102866278067453,Carcharhinus albimarginatus,2.352158045049347,3.1551060286975505,Pelagic generalist elasmobranchs,2148,3.5890272633737266,VU,3
PST,2.070375325068741,Isurus oxyrinchus,2.352158045049347,3.133544551389666,Oceanic elasmobranchs,20646,3.395975186730664,EN,3
PST,2.054085963067028,Alopias superciliosus,2.352158045049347,3.1228058877489273,Oceanic elasmobranchs,16730,3.395975186730664,VU,3
PST,2.347873475963969,Sphyrna mokarran,2.0476725110792193,3.1153607450445615,Shallow shelf elasmobranchs,14825,3.3972683057096047,CR,3
PST,1.359972950182873,Balaenoptera physalus,2.7663237344451836,3.0825433377300397,Baleen whales,23281,3.2638239847998465,VU,2
